site,cluster,plot,depthcode,predsoc,predtn,predpH,predsand,predclay
kalamba,1,1,topsoil,8.53,1.0426,6.24,34.1,31.93
kalamba,1,1,subsoil,5.32,0.9509,6.15,32.34,35.84
kalamba,1,2,topsoil,8.24,0.632,5.89,17.32,64.97
kalamba,1,2,subsoil,5.89,0.6411,5.65,25.29,56.68
kalamba,1,3,topsoil,7.68,0.71,6.2,22.3,57.53
kalamba,1,3,subsoil,6.16,0.6663,5.88,26.43,58.93
kalamba,1,4,topsoil,7.52,0.6489,7.3,37.81,45.84
kalamba,1,4,subsoil,5.15,0.5065,7.03,37.58,45.93
kalamba,1,5,topsoil,13.45,1.2483,6.56,33.16,44.07
kalamba,1,5,subsoil,7.65,0.8869,6.36,25.0,57.18
kalamba,1,6,topsoil,7.4,0.6226,7.15,18.23,76.15
kalamba,1,6,subsoil,6.76,0.6881,6.24,15.67,72.29
kalamba,1,8,topsoil,8.28,0.7754,6.24,36.32,42.3
kalamba,1,8,subsoil,7.49,0.7361,6.26,27.22,55.28
kalamba,1,9,topsoil,7.56,0.6484,5.94,23.96,58.41
kalamba,1,9,subsoil,5.85,0.5441,5.41,23.04,61.09
kalamba,1,10,topsoil,6.91,0.6818,6.14,22.16,64.49
kalamba,1,10,subsoil,9.03,0.7788,6.21,28.83,52.74
kalamba,1,13,topsoil,6.64,0.5534,6.76,39.09,44.9
kalamba,1,13,subsoil,6.22,0.4547,6.36,31.85,51.73
kalamba,2,1,topsoil,9.81,0.9808,6.25,18.21,58.79
kalamba,2,1,subsoil,4.83,0.6761,6.11,14.69,66.38
kalamba,2,2,topsoil,7.16,0.6433,6.28,32.91,40.28
kalamba,2,2,subsoil,6.31,0.5917,6.63,20.16,51.95
kalamba,2,3,topsoil,5.8,0.5521,6.37,37.87,38.52
kalamba,2,3,subsoil,7.05,0.7349,6.07,29.88,52.99
kalamba,2,4,topsoil,5.23,0.688,5.47,11.03,74.49
kalamba,2,4,subsoil,5.5,0.7008,5.34,11.45,66.78
kalamba,2,5,topsoil,4.2,0.578,6.46,40.94,29.23
kalamba,2,5,subsoil,4.37,0.5729,6.76,34.69,35.69
kalamba,2,6,topsoil,11.54,1.1276,6.32,16.67,60.26
kalamba,2,6,subsoil,12.73,0.905,6.2,12.99,63.2
kalamba,2,7,topsoil,16.47,1.4765,6.17,27.11,39.32
kalamba,2,7,subsoil,9.27,0.8573,6.52,32.07,40.95
kalamba,2,8,topsoil,13.81,1.0695,6.61,28.56,54.32
kalamba,2,8,subsoil,8.04,0.7177,6.82,30.34,56.19
kalamba,2,9,topsoil,6.73,0.5038,6.05,28.07,56.14
kalamba,2,9,subsoil,4.87,0.4302,5.97,26.51,52.83
kalamba,2,10,topsoil,3.83,0.4319,6.51,58.17,22.97
kalamba,2,10,subsoil,3.54,0.3905,6.69,47.68,23.99
kalamba,3,1,topsoil,13.52,1.3147,5.92,21.31,55.18
kalamba,3,1,subsoil,9.86,0.6703,6.26,10.5,57.9
kalamba,3,2,topsoil,9.3,1.1532,6.21,32.47,46.53
kalamba,3,2,subsoil,6.95,0.826,6.09,28.79,46.38
kalamba,3,3,topsoil,8.46,0.5941,7.6,32.51,24.01
kalamba,3,3,subsoil,6.5,0.6432,7.23,34.15,35.18
kalamba,3,4,topsoil,6.52,0.7809,6.02,29.55,53.1
kalamba,3,4,subsoil,4.73,0.5782,5.87,26.56,42.73
kalamba,3,5,topsoil,10.27,0.9616,5.99,23.12,51.61
kalamba,3,5,subsoil,6.79,0.7256,5.85,22.19,50.41
kalamba,3,6,topsoil,6.04,0.7332,6.26,39.44,27.45
kalamba,3,6,subsoil,7.96,0.7799,5.98,41.25,36.14
kalamba,3,7,topsoil,10.53,1.0071,6.77,20.0,54.59
kalamba,3,7,subsoil,8.13,0.7626,6.3,23.95,55.27
kalamba,3,8,topsoil,12.53,1.0049,6.57,25.36,48.46
kalamba,3,8,subsoil,10.56,0.8827,6.26,23.27,56.06
kalamba,3,10,topsoil,5.44,0.7001,5.93,41.38,29.12
kalamba,3,10,subsoil,6.67,0.6438,5.87,39.11,40.5
kalamba,4,4,topsoil,43.28,2.6251,4.64,22.03,48.24
kalamba,4,4,subsoil,32.71,1.8059,4.73,16.87,50.99
kalamba,4,5,topsoil,37.65,2.5213,4.61,13.69,68.67
kalamba,4,5,subsoil,32.04,2.0414,4.78,10.72,72.04
kalamba,4,6,topsoil,30.58,1.7711,4.89,14.84,63.03
kalamba,4,6,subsoil,32.18,1.9409,4.96,14.09,66.16
kalamba,4,8,topsoil,37.32,2.1157,5.14,25.4,53.46
kalamba,4,9,topsoil,36.17,2.0511,5.29,35.18,50.16
kalamba,4,9,subsoil,20.37,1.0949,5.04,21.02,54.35
kalamba,4,10,topsoil,33.89,1.4953,5.13,27.67,53.08
kalamba,4,10,subsoil,19.06,1.1648,4.98,17.41,61.55
kalamba,4,12,topsoil,52.06,3.4366,4.45,19.1,56.3
kalamba,4,12,subsoil,33.34,1.5971,4.89,13.75,71.55
kalamba,4,13,subsoil,40.55,2.8585,4.55,15.18,64.68
kalamba,5,1,topsoil,10.43,0.9767,5.43,19.4,59.94
kalamba,5,1,subsoil,6.84,0.6572,5.05,17.7,59.97
kalamba,5,2,topsoil,5.1,0.5216,6.26,42.21,34.62
kalamba,5,2,subsoil,5.99,0.5028,6.29,30.95,58.53
kalamba,5,3,topsoil,8.59,0.6341,6.62,20.55,50.82
kalamba,5,3,subsoil,6.39,0.5598,5.71,22.07,69.09
kalamba,5,4,topsoil,7.58,0.5863,6.5,32.46,44.2
kalamba,5,4,subsoil,6.19,0.4462,6.56,30.29,54.12
kalamba,5,5,topsoil,10.38,0.8717,6.43,37.1,43.93
kalamba,5,5,subsoil,10.17,0.7906,6.15,17.69,57.41
kalamba,5,6,topsoil,6.63,0.4754,5.8,29.72,58.07
kalamba,5,6,subsoil,5.13,0.5204,5.81,19.46,62.6
kalamba,5,7,topsoil,8.05,0.6099,6.52,28.71,51.49
kalamba,5,7,subsoil,5.06,0.4648,6.27,22.3,62.54
kalamba,5,8,topsoil,2.1,0.3911,6.09,56.84,18.5
kalamba,5,8,subsoil,2.5,0.3585,5.68,38.25,28.49
kalamba,5,9,topsoil,8.59,0.869,6.31,29.27,49.55
kalamba,5,9,subsoil,6.39,0.6251,6.0,29.05,54.63
kalamba,5,10,topsoil,5.15,0.6141,6.04,40.71,24.95
kalamba,5,10,subsoil,6.83,0.5388,5.9,40.78,30.72
kalamba,6,1,topsoil,8.56,0.8688,6.05,14.01,70.46
kalamba,6,1,subsoil,7.22,0.7469,5.61,11.11,66.08
kalamba,6,2,topsoil,8.09,0.6583,6.01,37.87,41.09
kalamba,6,2,subsoil,9.68,0.7502,6.06,20.32,57.35
kalamba,6,3,topsoil,4.11,0.5532,6.3,49.42,23.67
kalamba,6,3,subsoil,5.01,0.5757,5.94,40.77,34.75
kalamba,6,4,topsoil,9.14,0.8796,6.65,19.11,64.18
kalamba,6,4,subsoil,6.74,0.724,6.05,24.83,68.85
kalamba,6,5,topsoil,12.37,0.9752,6.52,17.82,58.84
kalamba,6,5,subsoil,6.58,0.6361,6.43,23.63,59.84
kalamba,6,6,topsoil,8.71,0.6795,6.16,23.95,55.12
kalamba,6,6,subsoil,6.35,0.6235,5.96,27.1,52.74
kalamba,6,7,topsoil,17.98,1.535,6.91,24.23,39.88
kalamba,6,7,subsoil,8.38,0.8706,6.94,23.14,48.74
kalamba,6,8,topsoil,9.49,0.8879,6.23,21.0,76.21
kalamba,6,8,subsoil,9.2,0.8251,5.95,12.82,70.03
kalamba,6,10,topsoil,9.48,0.8233,6.24,16.63,69.18
kalamba,6,10,subsoil,8.48,0.6915,6.1,15.33,67.39
kalamba,6,11,topsoil,6.43,0.5329,5.95,39.7,42.77
kalamba,6,11,subsoil,6.51,0.6045,6.14,23.16,54.68
kalamba,7,1,topsoil,4.28,0.5878,7.46,42.26,39.63
kalamba,7,1,subsoil,3.65,0.5508,7.88,41.71,40.05
kalamba,7,2,topsoil,9.73,0.9986,6.09,26.38,57.65
kalamba,7,2,subsoil,4.43,0.5755,6.26,22.75,49.81
kalamba,7,3,topsoil,6.29,0.7103,6.23,15.65,63.28
kalamba,7,3,subsoil,4.35,0.5423,5.89,19.08,61.26
kalamba,7,4,topsoil,8.83,0.7412,6.13,24.59,54.38
kalamba,7,5,topsoil,10.99,1.0744,5.91,16.47,56.79
kalamba,7,5,subsoil,8.17,0.8374,6.12,25.71,71.45
kalamba,7,6,topsoil,9.77,0.6895,6.48,37.5,39.98
kalamba,7,6,subsoil,6.2,0.5402,6.19,32.25,50.31
kalamba,7,7,topsoil,10.08,0.8085,6.24,31.1,45.66
kalamba,7,7,subsoil,7.27,0.63,5.9,16.92,56.93
kalamba,7,8,topsoil,7.73,0.7303,5.95,20.97,53.98
kalamba,7,8,subsoil,5.25,0.5585,5.73,25.01,49.46
kalamba,7,9,topsoil,17.0,1.5754,5.94,24.07,53.8
kalamba,7,9,subsoil,10.43,0.9135,6.24,19.72,60.03
kalamba,7,10,topsoil,4.76,0.5513,5.79,42.7,35.27
kalamba,7,10,subsoil,6.29,0.6029,5.53,25.94,51.08
kalamba,8,1,topsoil,4.22,0.5623,5.74,36.91,39.05
kalamba,8,1,subsoil,4.2,0.4438,6.01,39.0,39.57
kalamba,8,2,topsoil,9.19,1.2253,7.09,34.29,36.02
kalamba,8,2,subsoil,7.78,0.8931,7.21,35.21,39.3
kalamba,8,3,topsoil,7.23,0.5499,6.02,31.63,49.87
kalamba,8,3,subsoil,5.86,0.64,6.1,20.69,52.38
kalamba,8,4,topsoil,3.95,0.51,5.63,41.26,28.98
kalamba,8,4,subsoil,2.66,0.3234,5.58,46.73,23.34
kalamba,8,5,topsoil,6.31,0.7514,5.69,38.52,35.12
kalamba,8,5,subsoil,4.45,0.6052,5.7,38.48,40.46
kalamba,8,7,topsoil,8.56,0.7342,6.38,47.84,24.11
kalamba,8,7,subsoil,6.41,0.8275,6.4,37.1,26.18
kalamba,8,8,topsoil,9.19,0.9707,6.11,37.02,41.08
kalamba,8,8,subsoil,7.08,0.7575,5.89,29.56,47.04
kalamba,8,10,topsoil,6.83,0.7744,6.51,38.68,33.01
kalamba,8,10,subsoil,4.56,0.4281,5.94,51.29,28.11
kalamba,8,12,topsoil,12.92,0.8638,6.0,16.8,53.91
kalamba,8,12,subsoil,4.29,0.6148,6.28,30.45,48.28
kalamba,8,15,topsoil,13.65,1.0937,5.9,29.04,48.74
kalamba,8,15,subsoil,4.44,0.6461,5.51,19.08,59.41
kalamba,9,1,topsoil,74.45,4.2241,4.68,22.18,48.07
kalamba,9,1,subsoil,58.43,3.4702,4.71,19.3,49.06
kalamba,9,2,topsoil,60.39,4.175,5.19,28.58,43.92
kalamba,9,2,subsoil,38.53,2.9294,5.27,24.57,49.55
kalamba,9,3,topsoil,43.74,3.1156,6.05,36.33,38.33
kalamba,9,3,subsoil,29.5,2.0538,5.53,24.95,45.22
kalamba,9,5,topsoil,41.43,2.9458,5.58,14.32,59.25
kalamba,9,5,subsoil,28.71,1.2301,5.59,16.83,53.23
kalamba,9,6,topsoil,30.52,1.9633,5.78,44.21,31.24
kalamba,9,6,subsoil,11.5,0.689,5.74,29.97,46.6
kalamba,9,7,topsoil,34.51,2.4283,5.61,27.91,39.13
kalamba,9,7,subsoil,8.69,0.8408,5.86,23.92,51.62
kalamba,9,8,topsoil,41.15,2.3771,5.45,16.94,59.29
kalamba,9,8,subsoil,24.23,1.2816,4.93,11.12,66.17
kalamba,9,10,topsoil,56.41,3.9297,4.81,16.63,60.52
kalamba,9,10,subsoil,41.45,2.9853,4.82,11.29,72.55
kalamba,9,12,topsoil,36.48,2.6385,5.43,23.91,49.23
kalamba,9,12,subsoil,21.23,1.3474,5.4,22.27,48.25
kalamba,9,15,topsoil,62.31,4.1999,4.65,23.51,47.25
kalamba,9,15,subsoil,40.45,2.0944,4.88,12.8,67.33
kalamba,10,1,topsoil,9.33,0.7672,6.19,21.27,66.52
kalamba,10,1,subsoil,5.64,0.5787,5.9,28.88,44.84
kalamba,10,2,topsoil,10.59,0.7748,6.06,15.52,55.49
kalamba,10,2,subsoil,4.9,0.6182,5.29,17.34,67.76
kalamba,10,3,topsoil,6.4,0.5473,6.42,44.94,35.37
kalamba,10,4,topsoil,5.68,0.7585,6.03,46.5,36.53
kalamba,10,4,subsoil,4.79,0.5759,6.3,37.24,38.04
kalamba,10,5,topsoil,11.88,1.0624,5.0,13.34,70.55
kalamba,10,5,subsoil,6.83,0.8779,5.05,13.07,66.04
kalamba,10,6,topsoil,13.57,0.8959,5.74,15.71,55.21
kalamba,10,6,subsoil,8.9,0.698,5.85,15.38,50.31
kalamba,10,7,topsoil,9.8,0.9254,5.88,28.29,50.45
kalamba,10,7,subsoil,8.47,0.8571,6.0,26.97,50.99
kalamba,10,8,topsoil,13.15,0.9497,6.26,32.58,47.24
kalamba,10,8,subsoil,7.05,0.6469,5.62,27.91,50.93
kalamba,10,10,topsoil,9.66,0.8912,6.19,33.5,46.2
kalamba,10,10,subsoil,6.77,0.7191,6.37,33.9,44.62
kalamba,10,11,subsoil,4.39,0.6396,5.2,36.53,40.78
kalamba,11,1,topsoil,9.33,0.7704,6.6,22.45,57.32
kalamba,11,1,subsoil,7.4,0.6038,6.54,28.84,58.77
kalamba,11,3,topsoil,6.73,0.6122,6.68,37.34,48.97
kalamba,11,3,subsoil,5.3,0.5017,6.22,29.19,53.94
kalamba,11,4,topsoil,5.59,0.6675,6.46,51.24,26.88
kalamba,11,4,subsoil,3.05,0.3828,6.73,47.78,20.68
kalamba,11,6,topsoil,6.31,0.5705,6.4,41.07,47.47
kalamba,11,6,subsoil,4.45,0.3629,6.06,39.49,49.21
kalamba,11,7,topsoil,8.8,0.887,6.06,32.02,52.96
kalamba,11,7,subsoil,8.92,0.8791,6.01,19.3,60.42
kalamba,11,8,topsoil,5.03,0.5696,5.7,38.63,42.08
kalamba,11,8,subsoil,2.98,0.5238,5.82,36.14,42.74
kalamba,11,9,topsoil,6.64,0.7297,7.22,35.31,35.5
kalamba,11,9,subsoil,4.18,0.395,6.48,46.81,32.96
kalamba,11,10,topsoil,9.63,0.6611,5.87,48.36,30.76
kalamba,11,10,subsoil,6.44,0.5804,5.72,41.84,39.16
kalamba,11,13,topsoil,8.2,0.7015,7.1,30.74,46.95
kalamba,11,13,subsoil,5.34,0.5526,6.85,26.27,41.65
kalamba,11,14,topsoil,5.61,0.6989,7.17,39.33,36.77
kalamba,11,14,subsoil,7.02,0.7378,6.84,24.76,43.93
kalamba,12,1,topsoil,9.11,0.8489,5.62,12.6,69.28
kalamba,12,1,subsoil,5.73,0.7242,5.33,11.33,74.57
kalamba,12,2,topsoil,14.37,1.1695,6.31,30.84,25.25
kalamba,12,2,subsoil,4.17,0.5696,6.32,45.77,32.4
kalamba,12,3,topsoil,10.34,0.8411,7.12,22.74,53.13
kalamba,12,3,subsoil,6.74,0.5754,6.25,26.33,58.81
kalamba,12,4,topsoil,8.82,0.4714,6.35,47.59,21.06
kalamba,12,4,subsoil,2.2,0.2587,6.35,58.01,17.1
kalamba,12,5,topsoil,10.52,1.042,6.2,37.39,36.73
kalamba,12,5,subsoil,7.56,0.7102,6.26,32.22,44.38
kalamba,12,6,topsoil,8.29,0.6924,6.69,37.6,43.65
kalamba,12,6,subsoil,7.35,0.5937,6.24,28.3,53.3
kalamba,12,7,topsoil,8.76,0.7824,6.38,46.39,35.76
kalamba,12,7,subsoil,9.42,0.8774,6.68,37.91,39.83
kalamba,12,8,topsoil,9.43,0.745,6.48,40.22,44.71
kalamba,12,8,subsoil,7.08,0.6987,6.07,26.33,47.65
kalamba,12,9,topsoil,12.87,1.187,7.12,20.81,54.33
kalamba,12,9,subsoil,8.18,0.8417,6.91,21.13,44.85
kalamba,12,10,topsoil,6.84,0.7816,6.57,38.28,34.92
kalamba,12,10,subsoil,8.72,0.721,6.41,30.44,42.5
kalamba,13,1,topsoil,8.61,1.0905,6.23,41.83,30.73
kalamba,13,1,subsoil,8.07,1.0222,5.91,38.89,28.05
kalamba,13,2,topsoil,12.87,1.5177,5.97,30.74,48.63
kalamba,13,2,subsoil,9.33,0.9687,5.92,18.27,52.75
kalamba,13,3,topsoil,11.44,1.2883,5.96,37.15,34.61
kalamba,13,3,subsoil,5.79,0.7964,5.74,36.45,35.99
kalamba,13,4,topsoil,9.19,0.7486,6.04,30.98,39.8
kalamba,13,4,subsoil,5.89,0.8619,6.32,26.91,40.67
kalamba,13,5,topsoil,12.96,1.4422,5.87,36.45,45.1
kalamba,13,5,subsoil,9.3,1.2031,5.75,21.85,51.94
kalamba,13,6,topsoil,11.05,1.1522,5.92,41.04,23.81
kalamba,13,7,topsoil,14.37,1.3309,6.15,14.54,57.22
kalamba,13,7,subsoil,8.24,0.7272,6.17,14.13,63.88
kalamba,13,8,topsoil,21.91,1.9225,6.52,41.38,33.29
kalamba,13,8,subsoil,9.47,1.0607,6.1,43.04,30.19
kalamba,13,9,topsoil,10.44,1.1364,6.33,31.9,31.67
kalamba,13,9,subsoil,7.99,0.9866,5.77,35.37,33.36
kalamba,13,10,topsoil,7.1,0.656,5.75,33.42,45.92
kalamba,13,10,subsoil,5.12,0.5546,5.85,40.06,43.88
kalamba,14,1,topsoil,12.09,1.2323,5.8,34.94,43.51
kalamba,14,1,subsoil,8.02,0.7849,5.65,19.79,49.83
kalamba,14,2,topsoil,8.5,1.3308,6.01,37.07,28.84
kalamba,14,2,subsoil,4.59,0.4676,6.19,39.92,25.38
kalamba,14,3,topsoil,10.4,1.2092,6.12,42.36,28.02
kalamba,14,3,subsoil,4.91,0.7662,5.06,40.86,26.66
kalamba,14,4,topsoil,12.84,1.4365,6.16,32.54,35.72
kalamba,14,4,subsoil,8.87,1.5146,5.79,39.23,34.97
kalamba,14,5,topsoil,9.45,0.8675,6.08,25.92,60.11
kalamba,14,5,subsoil,10.27,1.1562,5.87,24.03,54.6
kalamba,14,6,topsoil,10.1,0.8305,7.31,28.19,54.2
kalamba,14,6,subsoil,7.64,0.6343,6.55,15.55,64.44
kalamba,14,7,topsoil,5.48,0.7165,6.01,38.9,27.28
kalamba,14,7,subsoil,4.93,0.6002,6.05,37.51,27.68
kalamba,14,8,topsoil,10.9,1.3101,6.37,31.98,42.88
kalamba,14,8,subsoil,7.18,0.7774,6.25,43.97,40.36
kalamba,14,9,topsoil,6.39,0.7042,5.81,32.87,41.47
kalamba,14,9,subsoil,4.7,0.6767,5.7,36.86,41.1
kalamba,14,12,topsoil,10.24,1.0699,5.88,34.97,48.58
kalamba,14,12,subsoil,8.29,0.8895,6.42,28.19,50.86
kalamba,15,1,topsoil,6.02,0.5879,5.84,38.72,45.01
kalamba,15,1,subsoil,4.4,0.4413,5.34,22.67,46.35
kalamba,15,2,topsoil,16.2,1.3552,6.07,36.89,40.06
kalamba,15,2,subsoil,7.76,0.5445,5.85,25.12,47.92
kalamba,15,3,topsoil,11.54,0.8651,5.56,39.14,41.54
kalamba,15,3,subsoil,7.44,0.6599,5.37,39.08,35.45
kalamba,15,4,topsoil,23.3,1.775,5.7,42.35,33.55
kalamba,15,4,subsoil,8.95,1.1362,5.6,29.99,38.44
kalamba,15,5,topsoil,17.13,1.5689,6.16,21.09,46.2
kalamba,15,5,subsoil,15.07,1.36,6.17,26.63,44.12
kalamba,15,7,topsoil,13.4,1.1209,5.8,46.59,33.36
kalamba,15,7,subsoil,7.45,0.7556,5.9,37.18,38.06
kalamba,15,8,topsoil,6.35,0.6236,5.84,25.57,56.79
kalamba,15,8,subsoil,4.72,0.526,5.54,17.75,59.62
kalamba,15,9,topsoil,9.85,0.6216,6.32,44.22,30.79
kalamba,15,9,subsoil,4.48,0.3783,6.65,33.4,35.2
kalamba,15,10,topsoil,10.42,1.0663,6.88,42.83,31.36
kalamba,15,10,subsoil,9.29,0.8588,6.24,39.11,42.36
kalamba,16,1,topsoil,16.46,1.2035,5.66,47.64,31.47
kalamba,16,1,subsoil,7.9,0.7582,5.7,49.83,37.78
kalamba,16,2,topsoil,8.07,0.5236,6.65,49.74,26.86
kalamba,16,2,subsoil,4.16,0.4373,6.79,42.24,24.29
kalamba,16,3,topsoil,6.99,0.6951,6.33,45.58,22.27
kalamba,16,3,subsoil,4.71,0.4207,6.61,49.13,19.99
kalamba,16,4,topsoil,5.2,0.8017,5.75,43.55,29.84
kalamba,16,4,subsoil,5.36,0.5339,5.83,38.25,42.4
kalamba,16,5,topsoil,10.33,1.1899,5.63,33.26,34.5
kalamba,16,5,subsoil,8.85,0.8155,5.7,28.09,41.95
kalamba,16,6,topsoil,14.23,1.6462,5.71,41.77,28.92
kalamba,16,6,subsoil,9.62,1.0047,5.62,42.17,30.99
kalamba,16,7,topsoil,11.18,1.0183,5.99,35.64,30.25
kalamba,16,7,subsoil,7.82,0.5849,6.13,41.51,27.38
kalamba,16,8,topsoil,5.96,0.6328,6.07,25.71,52.86
kalamba,16,8,subsoil,4.83,0.5597,6.04,19.71,58.13
kalamba,16,9,topsoil,8.31,1.0648,6.69,29.11,27.39
kalamba,16,9,subsoil,6.54,0.8295,6.27,31.62,29.58
kalamba,16,10,topsoil,15.18,0.8884,6.42,33.67,54.3
lumo,1,1,topsoil,10.63,0.8292,6.68,16.99,54.18
lumo,1,1,subsoil,6.47,0.7864,6.7,17.72,57.9
lumo,1,2,topsoil,5.38,0.6178,6.19,30.63,42.18
lumo,1,2,subsoil,4.77,0.4735,6.45,29.61,47.94
lumo,1,3,topsoil,5.23,0.5469,6.04,36.31,46.47
lumo,1,3,subsoil,5.92,0.4497,6.06,25.11,52.29
lumo,1,4,topsoil,9.32,0.7801,6.44,15.91,60.12
lumo,1,4,subsoil,6.07,0.7344,5.88,11.54,69.58
lumo,1,5,topsoil,5.87,0.5605,6.03,33.57,41.07
lumo,1,5,subsoil,6.1,0.433,6.24,32.18,49.94
lumo,1,6,topsoil,6.33,0.5986,6.95,24.0,46.37
lumo,1,6,subsoil,5.33,0.5258,6.33,26.27,54.2
lumo,1,7,topsoil,8.27,0.64,6.76,23.1,49.3
lumo,1,7,subsoil,6.67,0.5657,6.45,19.31,58.47
lumo,1,8,topsoil,6.7,0.5909,6.79,24.08,45.15
lumo,1,8,subsoil,5.72,0.6156,6.55,25.29,52.17
lumo,1,9,topsoil,9.94,0.7874,6.53,18.67,55.38
lumo,1,9,subsoil,6.39,0.6835,5.86,15.21,64.33
lumo,1,10,topsoil,8.01,0.6207,6.93,35.45,37.16
lumo,1,10,subsoil,5.77,0.5764,6.68,35.82,44.61
lumo,2,1,topsoil,6.46,0.6302,6.41,26.73,41.52
lumo,2,1,subsoil,5.97,0.5294,6.48,27.95,53.96
lumo,2,2,topsoil,6.53,0.5978,6.11,23.32,46.65
lumo,2,2,subsoil,5.08,0.3893,6.19,22.89,52.01
lumo,2,3,topsoil,5.4,0.4658,5.52,35.81,39.29
lumo,2,3,subsoil,5.05,0.4284,5.74,27.57,51.42
lumo,2,4,topsoil,5.47,0.4991,6.54,29.8,39.68
lumo,2,4,subsoil,4.87,0.4518,7.32,29.18,49.8
lumo,2,5,topsoil,6.63,0.6079,6.51,25.03,44.46
lumo,2,5,subsoil,5.5,0.4666,6.55,23.1,56.69
lumo,2,6,topsoil,5.69,0.4991,5.9,41.7,34.39
lumo,2,6,subsoil,5.5,0.4154,6.22,35.52,48.86
lumo,2,7,topsoil,5.32,0.5599,5.94,24.57,47.43
lumo,2,7,subsoil,5.48,0.4902,6.43,22.89,52.63
lumo,2,8,topsoil,7.28,0.5768,5.77,32.84,40.99
lumo,2,8,subsoil,6.83,0.4462,6.41,35.74,48.69
lumo,2,9,topsoil,5.42,0.4956,6.27,28.13,39.57
lumo,2,9,subsoil,5.53,0.4952,6.39,28.49,49.3
lumo,2,10,topsoil,7.76,0.5868,6.66,33.94,39.65
lumo,2,10,subsoil,6.06,0.5896,6.64,25.44,47.16
lumo,3,1,topsoil,5.58,0.5477,6.09,25.65,45.19
lumo,3,1,subsoil,5.48,0.4912,6.25,27.86,52.18
lumo,3,2,topsoil,8.73,0.6742,6.32,24.8,47.6
lumo,3,2,subsoil,6.15,0.6767,6.16,19.04,55.49
lumo,3,3,topsoil,5.84,0.3479,5.91,46.91,31.1
lumo,3,3,subsoil,5.95,0.4859,6.03,27.57,39.98
lumo,3,4,topsoil,5.2,0.4537,6.25,24.1,51.06
lumo,3,4,subsoil,4.91,0.3269,5.63,29.77,42.92
lumo,3,5,topsoil,8.12,0.6305,6.4,25.87,44.55
lumo,3,5,subsoil,4.96,0.4312,5.93,24.8,46.92
lumo,3,6,topsoil,7.39,0.6309,6.44,23.85,52.11
lumo,3,6,subsoil,4.69,0.3607,6.24,30.54,38.4
lumo,3,7,topsoil,9.08,0.594,6.44,27.49,48.36
lumo,3,7,subsoil,4.76,0.3402,5.82,31.37,43.26
lumo,3,8,topsoil,5.68,0.4712,6.2,33.46,37.05
lumo,3,8,subsoil,5.05,0.3235,6.04,24.68,46.89
lumo,3,9,topsoil,5.25,0.4012,6.37,42.91,37.61
lumo,3,9,subsoil,4.93,0.312,5.78,40.47,37.79
lumo,3,10,topsoil,9.17,0.6269,6.29,26.1,45.31
lumo,3,10,subsoil,4.99,0.3813,5.53,26.2,45.66
lumo,4,1,topsoil,6.65,0.6428,6.02,20.76,54.11
lumo,4,1,subsoil,5.66,0.5374,6.08,21.87,56.08
lumo,4,2,topsoil,6.07,0.4492,5.76,36.1,34.27
lumo,4,2,subsoil,5.19,0.471,5.25,25.68,53.37
lumo,4,3,topsoil,6.82,0.5817,5.86,32.23,38.96
lumo,4,3,subsoil,6.39,0.4636,6.29,25.13,52.97
lumo,4,4,topsoil,6.66,0.5524,5.93,25.71,49.25
lumo,4,4,subsoil,5.48,0.4629,6.11,27.58,54.38
lumo,4,5,topsoil,5.72,0.4255,5.71,31.16,37.5
lumo,4,5,subsoil,5.02,0.2648,5.82,29.83,39.52
lumo,4,6,topsoil,8.97,0.6704,6.43,22.99,46.05
lumo,4,6,subsoil,5.51,0.5319,6.07,22.45,50.03
lumo,4,8,topsoil,5.91,0.4797,5.88,29.73,42.22
lumo,4,8,subsoil,5.16,0.4249,6.17,24.12,49.1
lumo,4,9,topsoil,9.85,0.6964,6.4,21.58,56.57
