"Country","Date","Time","YEAR","Site","Cluster","Plot","Latitude","Longitude","Altitude","Accuracy","Photo","SlopeDn","SlopeUp","MajLform","LformDes","PosTopoSeq","VegCovLT40","PlotFlood","PlotCultMgd","dom_landuse","Trees","Shrubs","Graminoids","Forbs","VegOther","Broadleaf","Needleleaf","Evergreen","Deciduous","WdCovRate1","WdCovRate2","WdCovRate3","WdCovRate4","HerbCovRate1","HerbCovRate2","HerbCovRate3","HerbCovRate4","HerbHeight","HerbAnnual","VegStrataDescr","SameLanduse90","LandOwnership","UseFoodBeverage","UseForage","UseTimberFuelwood","UseOther","LandUseHistory","RockCover1","RockCover2","RockCover3","RockCover4","Erosion1","Erosion2","Erosion3","Erosion4","SWCStructures","SWCDescr","AugDepth1","AugDepth2","AugDepth3","AugDepth4","ShSuPlDe1","ShSuPlDe2","ShSuPlDe3","ShSuPlDe4","TrSuPlDe1","TrSuPlDe2","TrSuPlDe3","TrSuPlDe4","TrHeight1_1","TrHeight2_1","TrHeight3_1","TrHeight4_1","TrDBH1_1","TrDBH2_1","TrDBH3_1","TrDBH4_1","VegStructure","VegStructureOtherDescr","ImpactTreeCutting","ImpactAgric","ImpactGrazing","ImpactFire","ImpactErosion","ImpactAlienVeg"
"Kenya","2024-02-29","11:19:00.000+03:00","2024","Chawia","1","10","-3.4852","38.2944","1039","4","1709194828223.jpg","10","1","sloping","medium_gradient_hill","midslope","no","no","no","protected_area","yes","yes","yes","yes","no","yes","yes","yes","yes","0","3","3","3","3","3","3","3","03to08","no","Grewia kakothamnus, abutilon pannosum, Harrisonia abyssinica, acallypha fruticosa, Commicarpus stellatus, croton dichogamus, Dichrostachyus cinerea, Heliotropium steudneri, Solanum incanum, Ocimum americanum, Cadaba farinosa, Commelina benghalensis, biden pilosa,Cissus quandrangularis, Kalanchoe densiflora, Dalbergia melanoxylon,tagates minuta,Barleria acanthoides,Adenia volkensii, Albizia anthelminthica, Hibiscus pannosum,Dyschoriste thunberflora,Hibiscus micranthus, Cissus rotundifolia, Ipomea cairica,Agretum conyzoides, Triumfetta flavescense,Ipomoea spathulata,Acacia etbaica,Grewia hexamita,Pavonia burchellii, Lycopersicon esculatuma,","yes","government","no","yes","no","yes","Plot is under government forest land.
Grazing land since ancestral.","under5","under5","under5","under5","none","none","none","gully","0","none","50","50","50","24","3","2","2","0","0","0","1","0",,,,,,,,,"bushland",,"1","0","2","0","1","0"
"Kenya","2024-03-09","08:59:00.000+03:00","2024","Chawia","1","15","-3.48687","38.2895","990.8","4","1709964026216.jpg","5","5","sloping","low_gradient_hill","midslope","no","no","yes","annual_crop","yes","yes","yes","yes","no","yes","no","yes","yes","1","2","0","0","3","3","3","3","03to08","yes","Launea cornuta, Grewia kakothamnus, Digitaria velutina ,Panicum maximum, Panicum maximum, Commelina benghalensis Coccinia grandis, Orthosiphon pallidus, Acacia brevispica, Acalypha fruticosa,Tephrosia villosa, Leptochloa obtusiflora, Amaranthus caudatus,Acacia nilotica Cucumis dipsaceous, Antidesma vinosum, Trichodesma zeylanicum, Ormocarpum trachycarpum, Dichrostachyus cinerea, Astripomoea hyocyamoides, Zea mays, Melhania velutina, Ipomea sinensis, Grewia bicolor, Acacia mellifera, Brachiaria leersoides, Chocorus olitorius, Heliotropium steudneri, Crotalaria lubranii,Enneapogon macrostchyus, Ipomea wightii,Chloris roxyburghiana, Indigofera homblei,Hibiscus micranthus, Ipomea kituensis, Cissus rotundifolia,","no","private","yes","yes","no","no","Plot cultivated for over 3 years maize, beans .","under5","under5","under5","under5","sheet","rill","sheet","sheet","0","none","20","30","50","50","0","0","0","0","0","0","0","0",,,,,,,,,"cropland",,"1","3","0","0","2","3"
"Kenya","2024-03-09","12:31:00.000+03:00","2024","Chawia","1","2","-3.48336","38.2938","1119.2","5","1709976723134.jpg","25","22","steep","high_gradient_hill","ridge_crest","no","no","no","pasture_rangeland","yes","yes","yes","yes","no","yes","no","yes","yes","2","3","2","2","4","4","4","4","03to08","no","Dichrostachyus cinerea, ozoroa isginis, pappea capensis, Indigofera homblei, Combretum molle, Lannea flucosa,acacia nilotica,","yes","government","no","yes","no","no","Grazing land for over 80 years.","over40","over40","over40","over40","none","rill","rill","rill","0","none","20","20","31","20","4","2","0","0","0","0","0","0",,,,,,,,,"bushland",,"1","0","1","0","1","0"
"Kenya","2024-03-09","09:57:00.000+03:00","2024","Chawia","1","3","-3.48634","38.2915","1014","5","1709967506230.jpg","5","5","sloping","low_gradient_hill","midslope","no","no","no","fallow","yes","yes","yes","yes","","yes","no","yes","yes","3","3","3","3","3","3","3","2","03to08","no","Acacia mellifera, Grewia bicolor, Hibiscus calyphyllus,Acacia brevispica, Ruellia patula, Enteropogon macrostchyus, Indigofera schimperi, Synadium compactum,Pavonia burchellii, Ipomea obscura, Acalypha fruticosa, Plecthranthus sp,Seasia natalensis, Grewia trichocarpa, Melhania velutina, Panicum maximum, Chloris roxyburghiana, Eragrostis superba, Indigofera tanganyikensis, Ipomea spathulata,Abutilon pannosum, Maeru kirkii, Euphorbia nyikae,Digitaria velutina, Digera muricata, Tephrosia villosa, Tinnea aethiopiaca, Cissus rotundifolia, Jasminum flumunese, Commelina errecta, Pupalia lappacea, Acacia mellifera, Barleria eranthemoides, Tephrosia pumila,","no","private","no","yes","yes","no","Fallow land 3 years,used to be cultivated maize, beans.","under5","under5","under5","under5","sheet","sheet","none","none","0","none","50","30","25","50","1","4","0","0","4","0","0","5",,,,,,,,,"bushland",,"0","0","2","0","1","1"
"Kenya","2024-03-09","09:29:00.000+03:00","2024","Chawia","1","5","-3.48624","38.291","1009.4","3","1709965871010.jpg","5","5","sloping","low_gradient_hill","midslope","no","no","no","fallow","yes","yes","yes","yes","no","yes","no","yes","yes","3","3","2","3","3","2","3","3","03to08","yes","Lantana virbunoides,Talinum portulacifolium, Acacia mellifera, Hibiscus micranthus, Grewia bicolor, Chloris roxyburghiana, Digitaria velutina Commelina benghalensis, Enteropogon macrostchyus, Panicum maximum, Grewia kakothamnus,Ocimum americanum, Ipomea kituensis, Albizia anthelminthica, Leucas glabrata, Melhania velutina, Indigofera schimperi, Balanites aegyptiaca, Grewia bicolor, Commiphora schimperi,Acalypha fruticosa, Abutilon pannosum, Plecthranthus spp,Cordia sinensis, Barleria eranthemoides, Pupalia lappacea, Commelina errecta,Cadaba farinosa, Ipomea obscura, Hibiscus aethiopicus,Solanum incanum,Xymalos monospora Acacia Senegal, Tephrosia villosa, Vangueria infausta,","no","private","no","yes","no","no","Fallow land 4 years and before it was cultivated beans and maize.","under5","under5","under5","under5","rill","rill","rill","rill","0","none","20","32","50","20","4","6","3","3","4","5","1","2",,,,,,,,,"bushland",,"1","0","2","0","2","0"
"Kenya","2024-03-09","08:16:00.000+03:00","2024","Chawia","1","6","-3.48833","38.2875","966.9","4","1709961410367.jpg","5","5","sloping","plain","midslope","no","no","no","fallow","yes","yes","yes","yes","no","yes","no","yes","yes","3","3","3","3","2","2","2","2","03to08","no","Gnidia latifolia, Acacia brevispica, Astripomoea hyocyamoides, Melhania velutina, Sida ovata, Grewia similis, Tephrosia villosa, Eragrostis superba, Enteropogon macrostchyus, Aristida adscencionis, Leucas grandis, Ormocarpum trachycarpum, Indigofera schimperi, Abutilon mauritianum, Maerua kirkii, Grewia kakothamnus, Acacia nilotica, Cissus rotundifolia, Eragrostis caesalpitosa, Harmania uhlingii,Panicum maximum, Dyschoriste depressa, Cadaba farinosa, Chloris roxyburghiana, Tinnea aethiopiaca, Cynodon plectostachyus, Acanthospermum hispidum Ipomea spathulata,Acacia mellifera, Acacia Senegal, Sporobolus fimbriatus, Justicia aniseliana, Commelina benghalensis, Digitaria velutina, Grewia hexaminta,Solanum incanum, Lycium europaea, Albizia anthelminthica, Tarmarindus indica Indigofera lupatana, Tephrosia villosa, Grewia bicolor, Crabbea velutina,","no","private","no","yes","yes","no","Fallow land 5 years before it was cultivated beans and maize.","under5","under5","under5","under5","rill","rill","rill","rill","0","none","30","17","40","50","0","0","4","1","3","2","2","2",,,,,,,,,"bushland",,"0","0","2","0","3","0"
"Kenya","2024-03-09","11:53:00.000+03:00","2024","Chawia","1","7","-3.48407","38.2929","1073.9","5","1709974427470.jpg","25","22","steep","high_gradient_hill","midslope","no","no","no","pasture_rangeland","yes","yes","yes","yes","no","yes","no","yes","yes","2","3","3","2","3","3","3","3","03to08","no","Harrisonia abyssinica, ozoroa isginis,Lannea flucosa,Combretum molle,Ocimum americanum,acacia nilotica,Lippia kituensis, Indigofera homblei, Indigofera tanganyikensis, Dolichos Oliviero,Aerva javanica,Dombeya rotundifolia Commiphora schimperi, Grewia bicolor,","yes","government","no","yes","no","no","Grazing land for over 80 years.","over40","over40","over40","over40","rill","rill","rill","rill","0","none","30","30","36","50","5","4","3","0","0","1","2","0",,,,,,,,,"bushland",,"0","0","1","0","1","0"
"Kenya","2024-02-29","09:49:00.000+03:00","2024","Chawia","1","8","-3.48848","38.2968","1029.7","4","1709189470437.jpg","12","13","sloping","medium_gradient_hill","midslope","no","no","no","pasture_rangeland","yes","yes","yes","yes","no","yes","no","yes","yes","3","2","2","3","2","3","3","3","03to08","no","Solanum incanum, Ocimum americanum, acacia tortilis, Acacia nilotica, Acacia etbaica, Grewia bicolor, Lannea flocossa,Dalbergia melanoxylon, Indigofera swaziensis, Hoslundia opposite,Acacia mellifera, Sida ovata, Melhania velutina, Lippia kituensis, Solanum incanum, Grewia hexaminta,Indigofera schimperi, Albizia amara,Acacia senegal, Crotalaria incana, Gnidia latifolia,","yes","private","no","yes","no","no","Grazing land since ancestral.","5-40","5-40","5-40","5-40","rill","rill","rill","rill","0","none","50","50","20","20","4","2","3","4","0","1","2","2",,,,,,,,,"bushland",,"1","0","1","0","2","0"
"Kenya","2024-03-09","11:01:00.000+03:00","2024","Chawia","1","9","-3.48436","38.2924","1055.13","5","1709971299324.jpg","15","16","sloping","medium_gradient_hill","midslope","no","no","no","pasture_rangeland","yes","yes","yes","yes","no","yes","no","yes","yes","3","2","3","3","3","3","3","3","03to08","no","Lippia ukambensis, acacia mellifera, acacia nilotica, terminalia brownii,acacia senegal, acacia etbaica, Melhania velutina, Ocimum americanum, Acacia mellifera, Lannea floccosa,Maytenus putterlickioides, Acacia hockii,Cissus rotundifolia, Ozoroa insignis,Hoslundia opposita,Grewia bicolor, Indigofera tanganyikensis,","yes","government","no","yes","no","no","Grazing land for over 80 years.","over40","5-40","5-40","5-40","rill","rill","rill","rill","0","none","20","20","20","20","5","7","2","1","6","2","0","1",,,,,,,,,"bushland",,"2","0","0","1","1","0"
"Kenya","2024-03-06","11:11:00.000+03:00","2024","Chawia","10","1","-3.459","38.3361","1551","4","1709712744273.jpg","22","22","sloping","medium_gradient_hill","midslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","no","yes","yes","0","0","2","1","4","4","5","5","03to30","yes","Vernonia galamensis, Zea mays, Pteridium aquilinum , Triumfetta rhomboidea, Tagetes minuta, Acalypha volkensii, Richardia scabra, Bidens pilosa, Aspilia mossambinscenis, Pennisetum purpureaum, Acacia mearnsii Ageratum conyzoides, Grevillea robusta, Rumex acetosela, Psidium guajava, Maesa lanceolata, Vernonia brevicalyx, Thunbergia alata,Rubus pinata,Torriris spp,Sporobolus pyramidalis, Ocimum gratissimum, Erlangea cordifolia, Pennisetum clandestinum,Desmodium intortum, Vernonia brachycalyx,","yes","private","yes","yes","yes","no","Plot cultivated for over 80 years, maize,beans,cocoa yams,bananas.","under5","under5","under5","under5","none","none","none","none","8","veg struc","50","50","50","50","0","0","1","0","0","0","2","1",,,,,,,,,"cropland",,"0","3","0","0","1","1"
