"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","rl_bareground","rl_canopy","rl_grasstuft","rl_leaflitter","rl_rock","rl_dung","rl_nearestherb","rl_nearest_grass_perennial_spp","rl_dist_grass_perennial","rl_nearest_grass_annual_spp","rl_dist_grass_annual","rl_nearest_forb_spp","rl_dist_forb","rl_nearest_woody_spp","rl_dist_woody_plant","rl_grass_condition","rl_planned_graze_manag","rl_wet_season_graze","rl_dry_season_graze","rl_land_resting","rl_invasive_species_control","rl_restor_bunds","rl_restor_exclosure","rl_plot_in_conservation_area","rl_grass_reseeding","rl_cow_present","rl_goat_present","rl_wildlife_present","rl_other_restor_activities","rl_other_restor_activities_name"
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[1]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","0","Aristida adscencionis","39","Commelina velutina","41","Lannea triphylla","71","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[2]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","6","Eragrostis cilianensis","16","N","200","Lannea triphylla","17","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[3]","yes","no","yes","no","no","no","pg","Tetrapogon roxburghiana","9","Aristida adscencionis","37","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[4]","yes","no","yes","no","no","no","pg","Panicum chlorochloe","10","Aristida adscencionis","7","N","200","Hibiscus micranthus","67","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[5]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","8","Aristida adscencionis","9","Commelina velutina","50","Grewia tenax","82","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[6]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","18","Aristida adscencionis","8","N","200","Lannea triphylla","52","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[7]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","22","Aristida adscencionis","1","Commelina benghalensis","13","Lannea triphylla","7","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[8]","no","no","yes","no","no","yes","pg","Tetrapogon roxburghiana","17","N","200","Cucumis prophetarum","52","Grewia tenax","92","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[9]","no","no","yes","no","no","yes","pg","Tetrapogon roxburghiana","9","Aristida adscencionis","38","N","200","Commiphora schimperi","22","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[10]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","5","N","200","N","200","Grewia tenax","52","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[11]","yes","no","yes","no","no","no","pg","Themeda triandra","10","N","200","Commelina velutina","16","Cadaba farinosa","94","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[12]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","9","Tetrapogon spatheous","64","Pupalia lappacea","50","Ocimum suave","92","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[13]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","24","N","200","Commelina benghalensis","18","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[14]","yes","no","yes","no","no","no","pg","Tetrapogon roxburghiana","17","Tetrapogon spatheous","44","Commelina benghalensis","32","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[15]","no","yes","yes","yes","no","no","pg","Cenchrus ciliaris","5","Tetrapogon spatheous","27","Commelina benghalensis","50","Euphorbia cuneata","14","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[16]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","16","N","200","Commelina velutina","49","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[17]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","22","Aristida adscencionis","23","Commelina velutina","17","Ocimum suave","79","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[18]","no","no","yes","yes","no","no","pg","Cenchrus ciliaris","22","Tetrapogon spatheous","25","Commelina velutina","20","Dyschoriste depressa","57","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[19]","no","no","yes","yes","no","no","pg","Cenchrus ciliaris","17","Brachiaria deflexa","6","Commelina velutina","40","Ecbolium hamatum","87","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[20]","yes","no","yes","no","no","no","pg","Panicum chlorochloe","4","N","200","Commelina velutina","10","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[21]","no","no","yes","yes","no","no","pg","Cenchrus ciliaris","17","Aristida adscencionis","18","Digera muricata","23","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[22]","yes","no","yes","no","no","no","pg","Panicum maximum","18","Urochloa panicoides","41","Digera muricata","12","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[23]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","12","Urochloa panicoides","9","Crabbea velutina","48","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[24]","yes","no","yes","no","no","no","pg","Tetrapogon roxburghiana","5","N","200","Commelina velutina","34","Grewia tenax","100","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[25]","yes","no","yes","no","no","no","pg","Tetrapogon roxburghiana","10","Eragrostis cilianensis","8","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[26]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","0","N","200","Commelina velutina","78","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[27]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","23","N","200","Cucumis prophetarum","37","Grewia tenax","47","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[28]","no","no","yes","yes","no","no","pg","Cenchrus ciliaris","19","N","200","Commelina velutina","74","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[29]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","20","Eragrostis cilianensis","51","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc","Lumo","15","2","38.2164","-3.51975","grassland","2023","no","no","uuid:40ed0f9b-5aa7-41e6-84d6-632241b572dc/rangel_form[30]","no","no","yes","yes","no","no","pg","Themeda triandra","7","N","200","Acanthospermum hispidum","58","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[1]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","6","Aristida adscencionis","20","N","200","Balanites aegyptiaca","59","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[2]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","30","Aristida adscencionis","39","Pupalia lappacea","21","Commiphora schimperi","75","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[3]","no","no","yes","no","no","yes","pg","Tetrapogon roxburghiana","38","Tetrapogon spatheous","1","Crabbea velutina","82","Lannea triphylla","42","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[4]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","12","Tetrapogon spatheous","8","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[5]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","17","Brachiaria deflexa","3","Crabbea velutina","95","Sericocomopsis hilderbrandtii","71","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[6]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","5","Aristida adscencionis","15","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[7]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","26","Tetrapogon spatheous","30","N","200","Sericocomopsis hilderbrandtii","80","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[8]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","2","Tetrapogon spatheous","24","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[9]","yes","yes","yes","no","no","no","pg","Sporobolus fimbriatus","11","Eragrostis cilianensis","8","N","200","Grewia tenax","62","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
