"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","shheight","shwidth","shlength","shsuplspecies_scientific","shrubspecies_common","Subplot"
"uuid:9764dc8a-20a8-47a9-8184-798e29998077","Lumo","15","7","38.2131","-3.51209","grassland","2023","no","yes","uuid:9764dc8a-20a8-47a9-8184-798e29998077/supl1_shrb_data[1]","2.5","2.4","2.7","Balanites aegyptiaca","N","1"
"uuid:2ce3a501-cc4a-4a98-9096-3eb6a0725f8a","Lumo","15","5","38.2119","-3.5165","grassland","2023","no","yes","uuid:2ce3a501-cc4a-4a98-9096-3eb6a0725f8a/supl1_shrb_data[1]","2.6","1.8","2.1","Balanites aegyptiaca","N","1"
"uuid:2ce3a501-cc4a-4a98-9096-3eb6a0725f8a","Lumo","15","5","38.2119","-3.5165","grassland","2023","no","yes","uuid:2ce3a501-cc4a-4a98-9096-3eb6a0725f8a/supl1_shrb_data[2]","2.2","1.9","1.9","Balanites aegyptiaca","N","1"
"uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7","Lumo","16","14","38.2076","-3.48952","wooded_grassland","2023","yes","yes","uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7/supl1_shrb_data[1]","2.7","1.2","1.7","Acacia brevispica","N","1"
"uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7","Lumo","16","14","38.2076","-3.48952","wooded_grassland","2023","yes","yes","uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7/supl1_shrb_data[2]","1.6","1.1","1.4","Acacia brevispica","N","1"
"uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7","Lumo","16","14","38.2076","-3.48952","wooded_grassland","2023","yes","yes","uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7/supl1_shrb_data[3]","1.6","1.8","2.1","Acacia brevispica","N","1"
"uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7","Lumo","16","14","38.2076","-3.48952","wooded_grassland","2023","yes","yes","uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7/supl1_shrb_data[4]","2.1","2.4","2.6","Acacia brevispica","N","1"
"uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7","Lumo","16","14","38.2076","-3.48952","wooded_grassland","2023","yes","yes","uuid:4cf95193-6c6b-48e0-b78e-e354a5c5d3b7/supl1_shrb_data[5]","1","1","1","N","N","1"
"uuid:d8204fcd-52ea-425e-a0ae-50794930848f","Lumo","16","2","38.2084","-3.48894","wooded_grassland","2023","no","yes","uuid:d8204fcd-52ea-425e-a0ae-50794930848f/supl1_shrb_data[1]","1.9","0.8","0.9","Acacia brevispica","N","1"
"uuid:d8204fcd-52ea-425e-a0ae-50794930848f","Lumo","16","2","38.2084","-3.48894","wooded_grassland","2023","no","yes","uuid:d8204fcd-52ea-425e-a0ae-50794930848f/supl1_shrb_data[2]","2.3","2.1","2.5","Combretum heroense","N","1"
"uuid:d8204fcd-52ea-425e-a0ae-50794930848f","Lumo","16","2","38.2084","-3.48894","wooded_grassland","2023","no","yes","uuid:d8204fcd-52ea-425e-a0ae-50794930848f/supl1_shrb_data[3]","1.8","2.6","2.9","Acacia brevispica","N","1"
"uuid:d8204fcd-52ea-425e-a0ae-50794930848f","Lumo","16","2","38.2084","-3.48894","wooded_grassland","2023","no","yes","uuid:d8204fcd-52ea-425e-a0ae-50794930848f/supl1_shrb_data[4]","2.2","1","1.2","Acacia tortilis","N","1"
"uuid:17f2ac9f-ebc7-424c-8ca1-0e876dc04023","Lumo","16","5","38.213","-3.48911","wooded_grassland","2023","yes","yes","uuid:17f2ac9f-ebc7-424c-8ca1-0e876dc04023/supl1_shrb_data[1]","1.7","0.6","0.9","Combretum heroense","N","1"
"uuid:17f2ac9f-ebc7-424c-8ca1-0e876dc04023","Lumo","16","5","38.213","-3.48911","wooded_grassland","2023","yes","yes","uuid:17f2ac9f-ebc7-424c-8ca1-0e876dc04023/supl1_shrb_data[2]","1.5","1.4","1.8","Combretum heroense","N","1"
"uuid:1e3a14a2-16ac-4f7b-8858-24b70d1feae2","Lumo","16","3","38.2142","-3.49105","wooded_grassland","2023","no","yes","uuid:1e3a14a2-16ac-4f7b-8858-24b70d1feae2/supl1_shrb_data[1]","2.1","1.4","1.4","Acacia tortilis","N","1"
"uuid:3a5bbdb7-fee0-47bc-99e3-497b5b12ed53","Lumo","16","1","38.2116","-3.49657","grassland","2023","no","yes","uuid:3a5bbdb7-fee0-47bc-99e3-497b5b12ed53/supl1_shrb_data[1]","2.4","1.3","1.7","Ormocarpum kirkii","N","1"
"uuid:59221681-15dd-44fb-994d-e99f809d9421","Lumo","16","8","38.2125","-3.49703","wooded_grassland","2023","yes","yes","uuid:59221681-15dd-44fb-994d-e99f809d9421/supl1_shrb_data[1]","2.6","1.9","1.9","Ormocarpum kirkii","N","1"
"uuid:59221681-15dd-44fb-994d-e99f809d9421","Lumo","16","8","38.2125","-3.49703","wooded_grassland","2023","yes","yes","uuid:59221681-15dd-44fb-994d-e99f809d9421/supl1_shrb_data[2]","1.9","1.2","1.2","Maytenus putterlickioides","N","1"
