"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","trheight","trcircumf","trspecies_scientific","treespecies_common","Subplot"
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/supl1_tree_data[1]","3.8","22.1","Balanites aegyptiaca","N","1"
"uuid:1b0ccef4-c515-4b6e-8210-1fb5bcedd021","Lumo","15","4","38.2107","-3.51555","grassland","2023","yes","yes","uuid:1b0ccef4-c515-4b6e-8210-1fb5bcedd021/supl1_tree_data[1]","3.9","30","Acacia tortilis","N","1"
"uuid:d5e53f34-8359-468a-8894-9dc14e07c6be","Lumo","13","5","38.2113","-3.57059","grassland","2023","yes","no","uuid:d5e53f34-8359-468a-8894-9dc14e07c6be/supl1_tree_data[1]","4.3","39","Albizia anthelminthica","N","1"
"uuid:a43fb9d1-342a-40e7-889e-106bd4254107","Lumo","6","6","38.1738","-3.53903","grassland","2023","yes","yes","uuid:a43fb9d1-342a-40e7-889e-106bd4254107/supl1_tree_data[1]","6.9","69","Albizia anthelminthica","N","1"
"uuid:59221681-15dd-44fb-994d-e99f809d9421","Lumo","16","8","38.2125","-3.49703","wooded_grassland","2023","yes","yes","uuid:59221681-15dd-44fb-994d-e99f809d9421/supl2_tree_data[1]","3.4","16","Balanites orbicularis","N","2"
"uuid:51ef4659-e1b7-4c54-b149-67a43e05dd54","Lumo","6","5","38.172","-3.54518","grassland","2023","yes","yes","uuid:51ef4659-e1b7-4c54-b149-67a43e05dd54/supl2_tree_data[1]","11.9","160","Albizia anthelminthica","N","2"
"uuid:0ea41583-f844-4881-9d03-f3caab1f8465","Lumo","3","2","38.1471","-3.51666","wooded_grassland","2023","yes","no","uuid:0ea41583-f844-4881-9d03-f3caab1f8465/supl2_tree_data[1]","3.7","14","","Acacia mellifera","2"
"uuid:d5e53f34-8359-468a-8894-9dc14e07c6be","Lumo","13","5","38.2113","-3.57059","grassland","2023","yes","no","uuid:d5e53f34-8359-468a-8894-9dc14e07c6be/supl3_tree_data[1]","4.1","64","Albizia anthelminthica","N","3"
"uuid:b10d0989-aa9d-4a12-bb14-ba467b7eced5","Lumo","13","4","38.2112","-3.56732","grassland","2023","yes","no","uuid:b10d0989-aa9d-4a12-bb14-ba467b7eced5/supl3_tree_data[1]","7.9","78","Albizia anthelminthica","N","3"
"uuid:27b8a965-8a54-4e22-8840-b3774648dc5d","Lumo","10","13","38.1907","-3.54292","grassland","2023","yes","yes","uuid:27b8a965-8a54-4e22-8840-b3774648dc5d/supl3_tree_data[1]","5.6","64","Albizia anthelminthica","N","3"
"uuid:0397cf77-18b7-4b79-be9d-c4b61476b691","Lumo","5","6","38.1673","-3.5659","wooded_grassland","2023","yes","yes","uuid:0397cf77-18b7-4b79-be9d-c4b61476b691/supl3_tree_data[1]","5.8","110","Acacia tortilis","N","3"
"uuid:e30b3a02-b44a-40cd-af44-b8d46d37e6bc","Lumo","5","8","38.1655","-3.56659","grassland","2023","yes","yes","uuid:e30b3a02-b44a-40cd-af44-b8d46d37e6bc/supl3_tree_data[1]","7.2","66","Balanites aegyptiaca","N","3"
"uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e","Lumo","4","3","38.15","-3.49832","shrubland","2023","yes","yes","uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e/supl3_tree_data[1]","6.2","44","Acacia tortilis","N","3"
"uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e","Lumo","4","3","38.15","-3.49832","shrubland","2023","yes","yes","uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e/supl3_tree_data[2]","5.8","49","Acacia tortilis","N","3"
"uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e","Lumo","4","3","38.15","-3.49832","shrubland","2023","yes","yes","uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e/supl3_tree_data[3]","4.8","88","Acacia tortilis","N","3"
"uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e","Lumo","4","3","38.15","-3.49832","shrubland","2023","yes","yes","uuid:a19411f1-c8d7-4703-876f-2b9978c5ab3e/supl3_tree_data[4]","3.9","38","Acacia tortilis","N","3"
"uuid:91fec869-1eb4-4866-9f0b-7f588f833c17","Lumo","3","8","38.1538","-3.51298","shrubland","2023","yes","yes","uuid:91fec869-1eb4-4866-9f0b-7f588f833c17/supl3_tree_data[1]","6.8","73","Albizia anthelminthica","N","3"
"uuid:3bde68be-137b-430a-9fd5-aae2694b7dbf","Lumo","3","4","38.1503","-3.51754","grassland","2023","yes","no","uuid:3bde68be-137b-430a-9fd5-aae2694b7dbf/supl3_tree_data[1]","7.7","54","Balanites aegyptiaca","N","3"
"uuid:34455677-570c-4824-868c-b1163ffc6d2e","Lumo","13","1","38.2096","-3.56725","grassland","2023","yes","yes","uuid:34455677-570c-4824-868c-b1163ffc6d2e/supl4_tree_data[1]","4.3","84","Albizia anthelminthica","N","4"
"uuid:de82c1cb-4a3e-417f-a7da-934b2ff6f989","Lumo","6","4","38.1706","-3.53718","grassland","2023","yes","yes","uuid:de82c1cb-4a3e-417f-a7da-934b2ff6f989/supl4_tree_data[1]","7.9","120","Albizia anthelminthica","N","4"
"uuid:de82c1cb-4a3e-417f-a7da-934b2ff6f989","Lumo","6","4","38.1706","-3.53718","grassland","2023","yes","yes","uuid:de82c1cb-4a3e-417f-a7da-934b2ff6f989/supl4_tree_data[2]","3.6","17","Capparis tometosa","N","4"
"uuid:0397cf77-18b7-4b79-be9d-c4b61476b691","Lumo","5","6","38.1673","-3.5659","wooded_grassland","2023","yes","yes","uuid:0397cf77-18b7-4b79-be9d-c4b61476b691/supl4_tree_data[1]","7.1","55","Albizia anthelminthica","N","4"
"uuid:0397cf77-18b7-4b79-be9d-c4b61476b691","Lumo","5","6","38.1673","-3.5659","wooded_grassland","2023","yes","yes","uuid:0397cf77-18b7-4b79-be9d-c4b61476b691/supl4_tree_data[2]","6.4","41","Albizia anthelminthica","N","4"
"uuid:91fec869-1eb4-4866-9f0b-7f588f833c17","Lumo","3","8","38.1538","-3.51298","shrubland","2023","yes","yes","uuid:91fec869-1eb4-4866-9f0b-7f588f833c17/supl4_tree_data[1]","4","29","Capparis tometosa","N","4"
"uuid:1fb1d2c5-1d44-4ee2-b140-df9cd0d96cf6","Lumo","3","9","38.1523","-3.51323","shrubland","2023","yes","yes","uuid:1fb1d2c5-1d44-4ee2-b140-df9cd0d96cf6/supl4_tree_data[1]","6.2","36","Acacia tortilis","N","4"
"uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6","Chawia","1","9","38.2924","-3.48436","bushland","2024","yes","yes","uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6/supl1_tree_data[1]","4.2","28","Acacia mellifera","N","1"
"uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6","Chawia","1","9","38.2924","-3.48436","bushland","2024","yes","yes","uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6/supl1_tree_data[2]","4.5","26","Lannea flucosa","N","1"
"uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6","Chawia","1","9","38.2924","-3.48436","bushland","2024","yes","yes","uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6/supl1_tree_data[3]","4.9","25","Acacia nilotica","N","1"
"uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6","Chawia","1","9","38.2924","-3.48436","bushland","2024","yes","yes","uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6/supl1_tree_data[4]","3.3","17","Acacia nilotica","N","1"
"uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6","Chawia","1","9","38.2924","-3.48436","bushland","2024","yes","yes","uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6/supl1_tree_data[5]","3.7","18","Acacia Senegal","N","1"
"uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6","Chawia","1","9","38.2924","-3.48436","bushland","2024","yes","yes","uuid:6892dfb3-9557-4f47-b9fa-99d2d25a92f6/supl1_tree_data[6]","4.5","22","Acacia Senegal","B","1"
"uuid:96968ada-a5f6-4b23-b6ab-af0b6e362505","Chawia","2","2","38.2947","-3.46633","bushland","2024","yes","yes","uuid:96968ada-a5f6-4b23-b6ab-af0b6e362505/supl1_tree_data[1]","4.3","17","Acacia nilotica","N","1"
"uuid:96968ada-a5f6-4b23-b6ab-af0b6e362505","Chawia","2","2","38.2947","-3.46633","bushland","2024","yes","yes","uuid:96968ada-a5f6-4b23-b6ab-af0b6e362505/supl1_tree_data[2]","3.1","21","Acacia nilotica","N","1"
"uuid:54a5dc0a-d9bb-4a1a-99c4-f12392973d8e","Chawia","15","5","38.3526","-3.43611","cropland","2024","yes","yes","uuid:54a5dc0a-d9bb-4a1a-99c4-f12392973d8e/supl1_tree_data[1]","5.1","28","Macadamia integrifolia","N","1"
"uuid:54a5dc0a-d9bb-4a1a-99c4-f12392973d8e","Chawia","15","5","38.3526","-3.43611","cropland","2024","yes","yes","uuid:54a5dc0a-d9bb-4a1a-99c4-f12392973d8e/supl1_tree_data[2]","6.4","36","Persea americanum","N","1"
"uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28","Chawia","15","6","38.3556","-3.42927","woodland","2024","yes","yes","uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28/supl1_tree_data[1]","4.4","17","Dadonaea viscosa","N","1"
"uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28","Chawia","15","6","38.3556","-3.42927","woodland","2024","yes","yes","uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28/supl1_tree_data[2]","3.4","5","Psidium guajava","N","1"
"uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28","Chawia","15","6","38.3556","-3.42927","woodland","2024","yes","yes","uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28/supl1_tree_data[3]","7.3","24","Psidium guajava","N","1"
"uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28","Chawia","15","6","38.3556","-3.42927","woodland","2024","yes","yes","uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28/supl1_tree_data[4]","24","78","Eucalyptus saligna","N","1"
"uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28","Chawia","15","6","38.3556","-3.42927","woodland","2024","yes","yes","uuid:8def9f3f-6af8-40ea-9fb0-fd6157b63c28/supl1_tree_data[5]","8.4","32","Maesa lanceolata","N","1"
"uuid:dcb65534-22bb-4bba-9b03-6a90318242aa","Chawia","15","1","38.3518","-3.43613","cropland","2024","yes","yes","uuid:dcb65534-22bb-4bba-9b03-6a90318242aa/supl1_tree_data[1]","3.2","7","Grevillea robusta","N","1"
"uuid:7af050cd-48b0-4ef0-b6bc-9287936f6378","Chawia","15","7","38.3562","-3.43275","cropland","2024","yes","yes","uuid:7af050cd-48b0-4ef0-b6bc-9287936f6378/supl1_tree_data[1]","4.4","14","Cupressus lusitanica","N","1"
"uuid:7af050cd-48b0-4ef0-b6bc-9287936f6378","Chawia","15","7","38.3562","-3.43275","cropland","2024","yes","yes","uuid:7af050cd-48b0-4ef0-b6bc-9287936f6378/supl1_tree_data[2]","3.2","10","Cupressus lusitanica","N","1"
"uuid:7af050cd-48b0-4ef0-b6bc-9287936f6378","Chawia","15","7","38.3562","-3.43275","cropland","2024","yes","yes","uuid:7af050cd-48b0-4ef0-b6bc-9287936f6378/supl1_tree_data[3]","13.7","64","Grevillea robusta","N","1"
"uuid:47155b9e-68ad-463b-a9b0-d8e8cdec0345","Chawia","15","4","38.3563","-3.43374","cropland","2024","yes","yes","uuid:47155b9e-68ad-463b-a9b0-d8e8cdec0345/supl1_tree_data[1]","6.4","23","Grevillea robusta","N","1"
